SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/24/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/25/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/26/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/27/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/28/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/29/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/30/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","7/31/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/1/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/2/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/3/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/4/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/5/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/6/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/7/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/8/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/9/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/10/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/11/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/12/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/13/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/14/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/15/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
"Microsoft Azure Sponsorship","46a57e0b-a067-4972-a19f-da4b2857afb2","8/16/2023","80dba35a-b66a-4ef7-b1ab-0034bec48be9","Azure Database for PostgreSQL","Hyperscale (Citus) General Purpose Storage","EU West","General Purpose Data Stored","165.16128","22.627104"
